Subject,Abund,Time,Treat,Individual,OTU_name
349.T2,0.002036199095023,2,Placebo,8,Bifidobacterium
351.T2,0.02059417363715,2,Letrozole,9,Bifidobacterium
352.T2,0.022769542918334,2,Letrozole,10,Bifidobacterium
353.T2,0.046610598844868,2,Letrozole,11,Bifidobacterium
355.T2,0.008741258741259,2,Letrozole,12,Bifidobacterium
356.T2,0.036318000204897,2,Letrozole,13,Bifidobacterium
359.T2,0.013671875,2,Letrozole,14,Bifidobacterium
360.T2,0.009039674125328,2,Letrozole,15,Bifidobacterium
361.T2,0.010578718108276,2,Letrozole,16,Bifidobacterium
340.T3,0.00710111694652,3,Placebo,1,Bifidobacterium
341.T3,0.002797607563187,3,Placebo,2,Bifidobacterium
342.T3,0.002058907635116,3,Placebo,3,Bifidobacterium
344.T3,0.001254180602007,3,Placebo,4,Bifidobacterium
345.T3,0.000334858801205,3,Placebo,5,Bifidobacterium
347.T3,0.006347800413345,3,Placebo,6,Bifidobacterium
348.T3,0.005184538781377,3,Placebo,7,Bifidobacterium
349.T3,0.003569243320416,3,Placebo,8,Bifidobacterium
351.T3,0.018580329327993,3,Letrozole,9,Bifidobacterium
352.T3,0.015704101663395,3,Letrozole,10,Bifidobacterium
353.T3,0.019997883821818,3,Letrozole,11,Bifidobacterium
355.T3,0.023785650623886,3,Letrozole,12,Bifidobacterium
356.T3,0.0690828810597,3,Letrozole,13,Bifidobacterium
359.T3,0.007767397921696,3,Letrozole,14,Bifidobacterium
360.T3,0.012391005048187,3,Letrozole,15,Bifidobacterium
361.T3,0.022032693674485,3,Letrozole,16,Bifidobacterium
340.T4,0.006305987741631,4,Placebo,1,Bifidobacterium
341.T4,0.009926656550329,4,Placebo,2,Bifidobacterium
342.T4,0.005574989068649,4,Placebo,3,Bifidobacterium
344.T4,0.00044284528093,4,Placebo,4,Bifidobacterium
345.T4,0.000799293256489,4,Placebo,5,Bifidobacterium
347.T4,0.004141739530603,4,Placebo,6,Bifidobacterium
348.T4,0.003303445021236,4,Placebo,7,Bifidobacterium
349.T4,0.00106620141514,4,Placebo,8,Bifidobacterium
351.T4,0.005376344086022,4,Letrozole,9,Bifidobacterium
352.T4,0.00903255126967,4,Letrozole,10,Bifidobacterium
353.T4,0.011089847391923,4,Letrozole,11,Bifidobacterium
355.T4,0.021361178840242,4,Letrozole,12,Bifidobacterium
356.T4,0.01271098145447,4,Letrozole,13,Bifidobacterium
359.T4,0.006751687921981,4,Letrozole,14,Bifidobacterium
360.T4,0.003475952727043,4,Letrozole,15,Bifidobacterium
361.T4,0.010840761262347,4,Letrozole,16,Bifidobacterium
340.T5,0.001411815812337,5,Placebo,1,Bifidobacterium
341.T5,0.010171335327713,5,Placebo,2,Bifidobacterium
342.T5,0.001344007479694,5,Placebo,3,Bifidobacterium
344.T5,0.003069790753038,5,Placebo,4,Bifidobacterium
345.T5,0.003431676278538,5,Placebo,5,Bifidobacterium
347.T5,0.009806813154402,5,Placebo,6,Bifidobacterium
348.T5,0.000647542575924,5,Placebo,7,Bifidobacterium
349.T5,0.001742160278746,5,Placebo,8,Bifidobacterium
351.T5,0.025115352348993,5,Letrozole,9,Bifidobacterium
352.T5,0.005250170630546,5,Letrozole,10,Bifidobacterium
353.T5,0.003582215354358,5,Letrozole,11,Bifidobacterium
355.T5,0.007800992853636,5,Letrozole,12,Bifidobacterium
356.T5,0.005034091633212,5,Letrozole,13,Bifidobacterium
359.T5,0.005156037991859,5,Letrozole,14,Bifidobacterium
360.T5,0.005434354571946,5,Letrozole,15,Bifidobacterium
361.T5,0.012559215599868,5,Letrozole,16,Bifidobacterium
340.T1,0.007939781398226,1,Placebo,1,Coprococcus
341.T1,0.01861781352398,1,Placebo,2,Coprococcus
342.T1,0.012932076383853,1,Placebo,3,Coprococcus
344.T1,0.009287925696594,1,Placebo,4,Coprococcus
345.T1,0.002330179353199,1,Placebo,5,Coprococcus
347.T1,0.001696695483558,1,Placebo,6,Coprococcus
348.T1,0.001414141414141,1,Placebo,7,Coprococcus
349.T1,0.001921909771394,1,Placebo,8,Coprococcus
351.T1,0.00516887346881,1,Letrozole,9,Coprococcus
352.T1,0.003587846171095,1,Letrozole,10,Coprococcus
353.T1,0.003839888294159,1,Letrozole,11,Coprococcus
355.T1,0.006745627108008,1,Letrozole,12,Coprococcus
356.T1,0.001494349490987,1,Letrozole,13,Coprococcus
359.T1,0.003491827637444,1,Letrozole,14,Coprococcus
360.T1,0.001921176858052,1,Letrozole,15,Coprococcus
361.T1,0.009710431445517,1,Letrozole,16,Coprococcus
340.T2,0.002986617655505,2,Placebo,1,Coprococcus
341.T2,0.007240065323898,2,Placebo,2,Coprococcus
342.T2,0.005287713841369,2,Placebo,3,Coprococcus
344.T2,0.009943016629841,2,Placebo,4,Coprococcus
345.T2,0.002918794954654,2,Placebo,5,Coprococcus
347.T2,0.001828463075204,2,Placebo,6,Coprococcus
348.T2,0.000961670559143,2,Placebo,7,Coprococcus
349.T2,0.01012443438914,2,Placebo,8,Coprococcus
351.T2,0.00605710989328,2,Letrozole,9,Coprococcus
352.T2,0.002028969170941,2,Letrozole,10,Coprococcus
353.T2,0.005319687911643,2,Letrozole,11,Coprococcus
355.T2,0.002787752787753,2,Letrozole,12,Coprococcus
356.T2,0.004200389304375,2,Letrozole,13,Coprococcus
359.T2,0.013167842741936,2,Letrozole,14,Coprococcus
360.T2,0.001060208693711,2,Letrozole,15,Coprococcus
361.T2,0.000967987277881,2,Letrozole,16,Coprococcus
340.T3,0.004142318218803,3,Placebo,1,Coprococcus
341.T3,0.01721975689755,3,Placebo,2,Coprococcus
342.T3,0.000686302545039,3,Placebo,3,Coprococcus
344.T3,0.005800585284281,3,Placebo,4,Coprococcus
345.T3,0.00485545261748,3,Placebo,5,Coprococcus
347.T3,0.002165141226257,3,Placebo,6,Coprococcus
348.T3,0.000975309275705,3,Placebo,7,Coprococcus
349.T3,0.001784621660208,3,Placebo,8,Coprococcus
351.T3,0.008900756564308,3,Letrozole,9,Coprococcus
352.T3,0.000413265833247,3,Letrozole,10,Coprococcus
353.T3,0.004973018728177,3,Letrozole,11,Coprococcus
355.T3,0.00094696969697,3,Letrozole,12,Coprococcus
356.T3,0.00064391500322,3,Letrozole,13,Coprococcus
359.T3,0.004565970399916,3,Letrozole,14,Coprococcus
360.T3,0.002524093620927,3,Letrozole,15,Coprococcus
361.T3,0.000839956063837,3,Letrozole,16,Coprococcus
340.T4,0.004832626119755,4,Placebo,1,Coprococcus
341.T4,0.005753667172484,4,Placebo,2,Coprococcus
342.T4,0.002131613467425,4,Placebo,3,Coprococcus
344.T4,0.006808746194298,4,Placebo,4,Coprococcus
345.T4,0.004248874679231,4,Placebo,5,Coprococcus
347.T4,0.002556629339878,4,Placebo,6,Coprococcus
348.T4,0.005285512033978,4,Placebo,7,Coprococcus
349.T4,0.003537850150237,4,Placebo,8,Coprococcus
351.T4,0.00510752688172,4,Letrozole,9,Coprococcus
352.T4,0.004828722376868,4,Letrozole,10,Coprococcus
353.T4,0.006918887089651,4,Letrozole,11,Coprococcus
355.T4,0.001643167603096,4,Letrozole,12,Coprococcus
356.T4,0.008682364381468,4,Letrozole,13,Coprococcus
359.T4,0.008656010156385,4,Letrozole,14,Coprococcus
360.T4,0.007267901156544,4,Letrozole,15,Coprococcus
361.T4,0.002770416767044,4,Letrozole,16,Coprococcus
340.T5,0.005647263249348,5,Placebo,1,Coprococcus
341.T5,0.007234158281208,5,Placebo,2,Coprococcus
342.T5,0.002395839420324,5,Placebo,3,Coprococcus
344.T5,0.004260117779727,5,Placebo,4,Coprococcus
345.T5,0.007959582479386,5,Placebo,5,Coprococcus
347.T5,0.003981713611562,5,Placebo,6,Coprococcus
348.T5,0.005827883183319,5,Placebo,7,Coprococcus
349.T5,0.003484320557491,5,Placebo,8,Coprococcus
351.T5,0.006239513422819,5,Letrozole,9,Coprococcus
352.T5,0.004777655273796,5,Letrozole,10,Coprococcus
353.T5,0.007585867809229,5,Letrozole,11,Coprococcus
355.T5,0.00436419180623,5,Letrozole,12,Coprococcus
356.T5,0.003441024660677,5,Letrozole,13,Coprococcus
359.T5,0.00651289009498,5,Letrozole,14,Coprococcus
360.T5,0.00173269276207,5,Letrozole,15,Coprococcus
361.T5,0.000716095626308,5,Letrozole,16,Coprococcus
340.T1,0.000670241286863,1,Placebo,1,Allobaculum
341.T1,0.000496475027306,1,Placebo,2,Allobaculum
342.T1,0.001631617113851,1,Placebo,3,Allobaculum
344.T1,0.000638852032041,1,Placebo,4,Allobaculum
345.T1,0.000564891964412,1,Placebo,5,Allobaculum
347.T1,0.00036357760362,1,Placebo,6,Allobaculum
348.T1,0.000252525252525,1,Placebo,7,Allobaculum
349.T1,0.000303459437589,1,Placebo,8,Allobaculum
351.T1,0.000708064858741,1,Letrozole,9,Allobaculum
352.T1,0.000280300482117,1,Letrozole,10,Allobaculum
353.T1,0.000465441005353,1,Letrozole,11,Allobaculum
355.T1,0.000313750098047,1,Letrozole,12,Allobaculum
356.T1,0.000793873167087,1,Letrozole,13,Allobaculum
359.T1,0.000445765230312,1,Letrozole,14,Allobaculum
360.T1,0.000274453836865,1,Letrozole,15,Allobaculum
361.T1,0.00063960925689,1,Letrozole,16,Allobaculum
340.T2,0.003503532249727,2,Placebo,1,Allobaculum
341.T2,0.003592814371257,2,Placebo,2,Allobaculum
342.T2,0.003058579574909,2,Placebo,3,Allobaculum
344.T2,0.000523316664728,2,Placebo,4,Allobaculum
345.T2,0.00026060669238,2,Placebo,5,Allobaculum
347.T2,0.00047404598246,2,Placebo,6,Allobaculum
348.T2,0.000480835279571,2,Placebo,7,Allobaculum
349.T2,0.000452488687783,2,Placebo,8,Allobaculum
351.T2,0.006287856936833,2,Letrozole,9,Allobaculum
352.T2,0.009074001014485,2,Letrozole,10,Allobaculum
353.T2,0.016769682845273,2,Letrozole,11,Allobaculum
355.T2,0.002504252504253,2,Letrozole,12,Allobaculum
356.T2,0.021206843561111,2,Letrozole,13,Allobaculum
359.T2,0.002016129032258,2,Letrozole,14,Allobaculum
360.T2,0.004519837062664,2,Letrozole,15,Allobaculum
361.T2,0.007190762635691,2,Letrozole,16,Allobaculum
340.T3,0.012057104815445,3,Placebo,1,Allobaculum
341.T3,0.004099942118464,3,Placebo,2,Allobaculum
342.T3,0.00480411781527,3,Placebo,3,Allobaculum
344.T3,0.000888377926421,3,Placebo,4,Allobaculum
345.T3,0.000446478401607,3,Placebo,5,Allobaculum
347.T3,0.000295246530853,3,Placebo,6,Allobaculum
348.T3,0.000513320671423,3,Placebo,7,Allobaculum
349.T3,0.000254945951458,3,Placebo,8,Allobaculum
351.T3,0.0028927458834,3,Letrozole,9,Allobaculum
352.T3,0.015910734580019,3,Letrozole,10,Allobaculum
353.T3,0.003914929637075,3,Letrozole,11,Allobaculum
355.T3,0.006740196078431,3,Letrozole,12,Allobaculum
356.T3,0.060482016373839,3,Letrozole,13,Allobaculum
359.T3,0.011073790280256,3,Letrozole,14,Allobaculum
360.T3,0.005201162612819,3,Letrozole,15,Allobaculum
361.T3,0.008722620662919,3,Letrozole,16,Allobaculum
340.T4,0.005539839698256,4,Placebo,1,Allobaculum
341.T4,0.003603945371775,4,Placebo,2,Allobaculum
342.T4,0.031646261477919,4,Placebo,3,Allobaculum
344.T4,0.001051757542209,4,Placebo,4,Allobaculum
345.T4,0.00042068066131,4,Placebo,5,Allobaculum
347.T4,0.003681546249425,4,Placebo,6,Allobaculum
