OTU_ID	Ruminococcaceae_denovo10000	Clostridiales_denovo100731	Clostridiales_denovo137602	Ruminococcaceae_denovo137967	RF39_denovo147868	Clostridiales_denovo152861	Clostridiales_denovo153245	Clostridiales_denovo167428	Clostridiales_denovo167887	Lachnospiraceae_denovo174953	Clostridiales_denovo17716	Bacteroidaceae_denovo177937	Ruminococcaceae_denovo179087	Clostridiales_denovo181864	Rikenellaceae_denovo182465	Clostridiales_denovo18922	Lactobacillaceae_denovo205876	Erysipelotrichaceae_denovo211707	Ruminococcaceae_denovo217968	Lachnospiraceae_denovo227121	RF39_denovo228419	Clostridiales_denovo243394	Erysipelotrichaceae_denovo253134	Desulfovibrionaceae_denovo260927	S24-7_denovo274868	Lachnospiraceae_denovo276673	Lachnospiraceae_denovo277613	Clostridiales_denovo280839	Clostridiales_denovo289427	Clostridiales_denovo298519	Ruminococcaceae_denovo303151	Clostridiales_denovo309433	Clostridiales_denovo321304	Clostridiales_denovo333253	Lachnospiraceae_denovo337607	Erysipelotrichaceae_denovo349383	Clostridiales_denovo355358	Clostridiales_denovo376509	Lachnospiraceae_denovo383875	Lachnospiraceae_denovo386274	Lactobacillaceae_denovo392914	S24-7_denovo421967	Lachnospiraceae_denovo431968	Lactobacillaceae_denovo448537	Lactobacillaceae_denovo470643	Lachnospiraceae_denovo470754	Clostridiales_denovo484653	Lactobacillaceae_denovo489518	RF39_denovo494541	RF39_denovo556210	Bifidobacteriaceae_denovo55677	Clostridiales_denovo65513	Enterobacteriaceae_denovo72427	Deferribacteraceae_denovo76908	Lachnospiraceae_denovo78453	Lactobacillaceae_denovo78833	Ruminococcaceae_denovo82126	Treat	Time
E01P2A	1	1	0	0	1	0	0	0	0	0	0	0	2	2	11	2	8	0	0	3	4	1	17	1	0	1	2	0	0	2	0	9	2	0	0	1	0	0	0	23	0	1	5	0	0	1	3	1	1	1	8	0	0	113	2	274	2	P	2
E02P2A	0	1	0	1	0	2	0	0	0	0	0	4	164	3	3	0	15	0	0	2	7	0	1	2	0	0	0	0	0	44	1	1581	5	3	0	5	0	0	1	7	1	0	3	0	1	3	1	1	1	285	2	0	1	60	0	417	3	P	2
E03P2B	9	1	1	0	0	1	0	0	38	0	1	3	4	1	1	0	5	0	2	2	0	0	1	4	2	1	2	0	5	2	12	379	85	0	0	37	0	0	1	1	1	3	1	0	0	3	2	2	4	1	1	0	1	63	0	378	1	P	2
E04P2B	8	47	1	58	0	0	0	1	10	1	1	4	2	5	3	0	70	0	5	0	0	3	4	1	1	1	1	0	3	2	13	324	61	1	0	41	0	0	0	2	5	2	2	9	3	0	47	2	13	25	2	1	2	46	0	2482	1	P	2
E05P2C	1	26	1	0	0	2	0	1	89	1	0	202	2	0	4	3	1	2	60	3	0	0	0	10	1	4	0	1	1	4	19	427	22	3	6	0	0	1	0	17	1	1	2	0	0	9	5	0	1	4	4	0	4	1582	0	38	3	P	2
E06P2C	0	2	0	1	0	1	1	0	1	0	0	3	4	1	64	0	0	1	2	0	0	0	1	0	0	0	3	1	0	4	0	259	4	2	1	1	0	0	0	7	0	3	2	0	0	0	22	0	2	4	0	0	0	58	0	59	3	P	2
E07P2D	0	3	0	9	3	4	1	1	0	2	0	4	52	1	38	0	3	0	2	6	0	1	2	5	1	5	0	0	6	8	17	401	175	2	3	17	1	1	1	35	0	3	3	1	0	4	3	0	1	5	8	1	1	194	0	142	2	P	2
E08P2D	0	0	2	0	0	1	0	0	0	0	0	1	12	0	8	0	24	0	6	0	0	1	21	2	0	0	2	0	0	0	14	37	2	0	0	57	0	0	1	1	1	2	0	1	2	1	1	3	0	6	5	0	5	26	3	1176	1	P	2
E09P2E	10	65	1	0	0	2	0	0	1	0	0	2	2	10	1	0	4	0	1	4	0	1	0	4	1	2	3	0	2	2	1	1404	21	7	3	2	0	0	0	2	0	2	1	0	0	16	3	0	34	1	0	1	1	131	0	152	9	P	2
E10P2E	0	1	0	1	0	1	0	0	1	1	0	23	9	0	4	0	8	2	14	2	1	0	0	3	0	0	8	0	3	1	0	213	21	0	0	1	0	0	14	0	0	2	0	0	0	0	78	0	1	5	2	0	2	46	1	271	1	P	2
F01L2F	0	49	0	0	3	1	0	0	1	4	10	427	130	1	3	19	2	0	1	3	0	1	8	0	0	0	1	27	8	181	42	192	133	1	13	21	0	0	0	0	0	8	2	0	0	0	43	0	0	5	105	0	1	55	1	65	1	L	2
F02L2F	1	2	0	1	1	5	1	0	0	0	0	3	17	1	3	0	25	0	2	2	0	0	0	0	1	0	0	1	0	3	2	535	5	6	1	138	0	1	0	5	5	1	0	1	3	0	8	2	48	131	600	0	4	3407	0	824	2	L	2
